time,Pair 1 Leg 1 Size,Pair 1 Leg 2 Size,Pair 1 PnL,Pair 1 Cash,Pair 1 Portfolio,Pair 2 Leg 1 Size,Pair 2 Leg 2 Size,Pair 2 PnL,Pair 2 Cash,Pair 2 Portfolio,Pair 3 Leg 1 Size,Pair 3 Leg 2 Size,Pair 3 PnL,Pair 3 Cash,Pair 3 Portfolio,Pair 4 Leg 1 Size,Pair 4 Leg 2 Size,Pair 4 PnL,Pair 4 Cash,Pair 4 Portfolio,Pair 5 Leg 1 Size,Pair 5 Leg 2 Size,Pair 5 PnL,Pair 5 Cash,Pair 5 Portfolio
2022-03-24 15:29:00,0.0,0,-11.26370000000145,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:30:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:31:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:32:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:33:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199997.1616632645,199997.1616632645
2022-03-24 15:34:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,83.0,-165,-0.0,190005.1402632645,199997.98486326452
2022-03-24 15:35:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.33350000000059765,199994.57078073625,199994.57078073625
2022-03-24 15:36:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:37:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:38:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:39:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:40:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:41:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:42:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:43:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:44:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
